epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,341.982,1.248,1.07156,1.1834,0.57469,0.64119,0.62025,0.38051,1.39127,1.294,1.11775,0.00020728,0.00020728,0.00020728
75,347.042,1.23832,1.07365,1.17234,0.53808,0.64884,0.58902,0.37279,1.29983,1.42245,1.08213,0.00020464,0.00020464,0.00020464
76,351.933,1.24938,1.06843,1.18198,0.54331,0.52917,0.52541,0.35099,1.3466,1.47417,1.09948,0.000202,0.000202,0.000202
77,356.742,1.23526,1.11803,1.18206,0.4236,0.54644,0.47205,0.31674,1.30709,1.65059,1.09072,0.00019936,0.00019936,0.00019936
78,361.536,1.24412,1.10303,1.16806,0.42031,0.59319,0.52595,0.33865,1.33892,1.38362,1.09367,0.00019672,0.00019672,0.00019672
79,366.229,1.2158,1.07377,1.17558,0.43086,0.64809,0.5363,0.31786,1.40658,1.45773,1.12597,0.00019408,0.00019408,0.00019408
80,371.158,1.20081,1.06788,1.17862,0.47867,0.62756,0.50739,0.30616,1.39171,1.64745,1.11775,0.00019144,0.00019144,0.00019144
81,375.893,1.22714,1.02248,1.16031,0.46267,0.60169,0.5302,0.3418,1.34011,1.4894,1.09565,0.0001888,0.0001888,0.0001888
82,380.776,1.19404,1.03572,1.16821,0.49062,0.58093,0.52854,0.34655,1.25037,1.50805,1.06854,0.00018616,0.00018616,0.00018616
83,385.353,1.20064,0.99429,1.14723,0.51049,0.57954,0.5462,0.35524,1.28889,1.41984,1.06606,0.00018352,0.00018352,0.00018352
84,389.896,1.1831,1.01181,1.15155,0.53996,0.42122,0.46379,0.30189,1.32992,1.90943,1.08747,0.00018088,0.00018088,0.00018088
85,394.598,1.19583,1.0074,1.14619,0.45301,0.62628,0.50857,0.32354,1.33403,1.50865,1.08465,0.00017824,0.00017824,0.00017824
